专业名称,专业组,选科,最高分,最低分,平均分,位次,人数,批次线差
汉语言文学,01,不限,545,531,534.2,25823,60,83
汉语言文学,01,不限,545,525,534.2,28557,90,77
应用统计学,01,不限,534,523,527.0,29522,5,75
小学教育,01,不限,533,522,525.3,29996,145,74
会计学,01,不限,539,522,525.2,29996,99,74
风景园林,01,不限,525,521,523.0,30452,3,73
财务管理,01,不限,536,521,523.2,30452,59,73
物流工程,01,不限,527,520,522.3,30948,4,72
英语,01,不限,530,519,522.0,31465,50,71
秘书学,01,不限,522,519,519.9,31465,25,71
学前教育,01,不限,523,516,519.1,32914,100,68
经济学,01,不限,530,516,518.9,32914,70,68
经济与金融,01,不限,525,516,518.2,32914,35,68
旅游管理,01,不限,520,515,517.1,33397,9,67
金融科技,01,不限,529,515,518.9,33397,35,67
电子商务,01,不限,521,515,516.3,33397,63,67
市场营销,01,不限,521,515,518.1,33397,48,67
国际经济与贸易,01,不限,523,515,518.2,33397,61,67
广告学,01,不限,524,515,518.0,33397,45,67
朝鲜语,01,不限,518,515,516.1,33397,8,67
信用管理,01,不限,535,515,517.2,33397,35,67
