专业名称,专业组,选科,最高分,最低分,平均分,位次,人数,批次线差
会计学,02,不限,546,533,537.4,102418,50,71
汉语言文学,02,不限,547,532,536.4,103671,30,70
财务管理,02,不限,545,530,533.3,106217,40,68
电气工程及其自动化,03,化学,555,529,534.3,107572,120,67
秘书学,02,不限,531,528,529.3,108842,3,66
大数据管理与应用,02,不限,547,527,531.7,110101,80,65
汉语言文学,02,不限,547,527,536.4,110101,35,65
英语,02,不限,533,526,528.0,111412,8,64
电子信息工程,03,化学,545,525,528.9,112671,41,63
计算机科学与技术,03,化学,548,525,530.3,112671,95,63
信息管理与信息系统,02,不限,546,525,529.7,112671,65,63
小学教育,02,不限,539,525,527.3,112671,50,63
经济与金融,02,不限,530,524,525.8,113931,24,62
软件工程,03,化学,535,523,526.5,115153,48,61
经济学,02,不限,529,523,525.0,115153,40,61
广告学,02,不限,535,522,525.4,116477,10,60
国际经济与贸易,02,不限,531,521,523.6,117794,30,59
应急管理,02,不限,543,521,525.3,117794,50,59
学前教育,02,不限,525,521,522.9,117794,20,59
物流工程,02,不限,527,521,523.5,117794,36,59
金融科技,02,不限,526,521,522.9,117794,50,59
机械设计制造及其自动化,03,化学,538,520,524.4,119050,93,58
市场营销,02,不限,538,520,522.5,119050,20,58
电子商务,02,不限,538,520,524.5,119050,40,58
旅游管理,02,不限,525,520,521.5,119050,8,58
风景园林,02,不限,530,520,522.5,119050,49,58
工程管理,02,不限,540,520,523.3,119050,66,58
朝鲜语,02,不限,520,520,520.0,119050,2,58
信用管理,02,不限,526,519,521.3,120389,20,57
数据科学与大数据技术,03,化学,533,518,522.3,121728,50,56
人工智能,03,化学,531,517,520.9,122990,50,55
电子科学与技术,03,化学,530,515,519.6,125638,30,53
机器人工程,03,化学,527,514,517.6,126937,50,52
机械电子工程,03,化学,529,514,518.6,126937,80,52
新能源科学与工程,03,化学,538,514,518.9,126937,100,52
智能制造工程,03,化学,526,513,516.7,128299,40,51
数学与应用数学,03,化学,528,511,519.2,130825,30,49
食品科学与工程,03,化学,543,510,515.2,132149,94,48
食品质量与安全,03,化学,520,510,512.5,132149,26,48
新能源材料与器件,03,化学,527,510,513.9,132149,40,48
储能科学与工程,03,化学,524,510,513.8,132149,50,48
应用统计学,03,化学,530,509,513.8,133496,50,47
化妆品技术与工程,03,化学,527,509,513.5,133496,40,47
信息与计算科学,03,化学,536,508,512.8,134800,80,46
应用化学,03,化学,518,508,511.4,134800,37,46
化学工程与工艺,03,化学,520,508,510.9,134800,50,46
高分子材料与工程,03,化学,520,508,510.8,134800,48,46
工业设计,03,化学,529,506,510.2,137345,95,44
材料成型及控制工程,03,化学,523,506,510.3,137345,80,44
智能建造,03,化学,517,506,509.5,137345,50,44
城市地下空间工程,03,化学,523,506,509.3,137345,40,44
应用物理学,03,化学,521,506,510.2,137345,50,44
土木工程,03,化学,520,506,511.6,137345,61,44
安全工程,03,化学,515,506,509.8,137345,50,44
环保设备工程,03,化学,511,506,507.0,137345,40,44
环境工程,03,化学,517,506,508.4,137345,70,44
给排水科学与工程,03,化学,542,506,509.9,137345,61,44
生物工程,03,化学,531,506,511.2,137345,71,44
食品营养与健康,03,化学,515,506,509.9,137345,50,44
电气工程及其自动化,06,化学,516,504,507.4,139961,30,42
高分子材料与工程,06,化学,511,501,503.2,143833,30,39
电气工程及其自动化,05,化学,514,496,502.5,150226,53,34
电子科学与技术,04,化学,512,490,496.1,157611,60,28
机械电子工程,05,化学,502,488,492.1,159982,47,26
机器人工程,04,化学,504,487,490.6,161179,60,25
材料科学与工程,04,化学,496,484,486.2,164623,60,22
环境工程,04,化学,499,477,485.2,172470,60,15
