分数,本段人数,累计人数
683-750,126,126
682,18,144
681,20,164
680,32,196
679,31,227
678,34,261
677,33,294
676,44,338
675,47,385
674,58,443
673,63,506
672,64,570
671,79,649
670,79,728
669,102,830
668,107,937
667,102,1039
666,108,1147
665,110,1257
664,124,1381
663,140,1521
662,142,1663
661,172,1835
660,192,2027
659,182,2209
658,205,2414
657,204,2618
656,229,2847
655,234,3081
654,200,3281
653,275,3556
652,249,3805
651,277,4082
650,281,4363
649,312,4675
648,298,4973
647,337,5310
646,323,5633
645,352,5985
644,377,6362
643,370,6732
642,389,7121
641,408,7529
640,399,7928
639,434,8362
638,475,8837
637,442,9279
636,486,9765
635,497,10262
634,488,10750
633,498,11248
632,521,11769
631,551,12320
630,509,12829
629,530,13359
628,556,13915
627,572,14487
626,612,15099
625,614,15713
624,666,16379
623,649,17028
622,678,17706
621,613,18319
620,685,19004
619,670,19674
618,675,20349
617,694,21043
616,692,21735
615,760,22495
614,719,23214
613,733,23947
612,822,24769
611,746,25515
610,815,26330
609,820,27150
608,815,27965
607,876,28841
606,797,29638
605,854,30492
604,870,31362
603,828,32190
602,879,33069
601,916,33985
600,903,34888
599,915,35803
598,921,36724
597,996,37720
596,965,38685
595,935,39620
594,1019,40639
593,960,41599
592,926,42525
591,1045,43570
590,1048,44618
589,1015,45633
588,993,46626
587,1060,47686
586,1054,48740
585,1066,49806
584,1085,50891
583,1054,51945
582,1051,52996
581,1123,54119
580,1142,55261
579,1184,56445
578,1146,57591
577,1173,58764
576,1141,59905
575,1124,61029
574,1203,62232
573,1222,63454
572,1223,64677
571,1194,65871
570,1262,67133
569,1205,68338
568,1202,69540
567,1274,70814
566,1308,72122
565,1162,73284
564,1298,74582
563,1255,75837
562,1256,77093
561,1303,78396
560,1315,79711
559,1302,81013
558,1279,82292
557,1325,83617
556,1245,84862
555,1330,86192
554,1336,87528
553,1327,88855
552,1338,90193
551,1390,91583
550,1388,92971
549,1358,94329
548,1313,95642
547,1331,96973
546,1358,98331
545,1391,99722
544,1439,101161
543,1365,102526
542,1423,103949
541,1392,105341
540,1339,106680
539,1393,108073
538,1411,109484
537,1430,110914
536,1379,112293
535,1446,113739
534,1376,115115
533,1439,116554
532,1438,117992
531,1393,119385
530,1382,120767
529,1431,122198
528,1341,123539
527,1482,125021
526,1381,126402
525,1434,127836
524,1469,129305
523,1410,130715
522,1367,132082
521,1388,133470
520,1475,134945
519,1450,136395
518,1347,137742
517,1461,139203
516,1405,140608
515,1460,142068
514,1372,143440
513,1332,144772
512,1388,146160
511,1376,147536
510,1400,148936
509,1428,150364
508,1373,151737
507,1375,153112
506,1407,154519
505,1376,155895
504,1364,157259
503,1320,158579
502,1340,159919
501,1342,161261
500,1351,162612
499,1314,163926
498,1299,165225
497,1366,166591
496,1330,167921
495,1329,169250
494,1332,170582
493,1299,171881
492,1342,173223
491,1265,174488
490,1244,175732
489,1286,177018
488,1250,178268
487,1288,179556
486,1215,180771
485,1259,182030
484,1191,183221
483,1149,184370
482,1212,185582
481,1145,186727
480,1211,187938
479,1138,189076
478,1108,190184
477,1179,191363
476,1085,192448
475,1102,193550
474,1153,194703
473,1065,195768
472,1062,196830
471,1080,197910
470,1082,198992
469,1016,200008
468,1028,201036
467,976,202012
466,980,202992
465,1012,204004
464,987,204991
463,984,205975
462,869,206844
461,938,207782
460,865,208647
459,842,209489
458,830,210319
457,855,211174
456,864,212038
455,788,212826
454,817,213643
453,746,214389
452,830,215219
451,798,216017
450,758,216775
449,749,217524
448,723,218247
447,744,218991
446,733,219724
445,705,220429
444,678,221107
443,681,221788
442,620,222408
441,681,223089
440,665,223754
439,580,224334
438,582,224916
437,623,225539
436,558,226097
435,565,226662
434,581,227243
433,563,227806
432,561,228367
431,612,228979
430,549,229528
429,501,230029
428,531,230560
427,517,231077
426,489,231566
425,481,232047
424,440,232487
423,467,232954
422,461,233415
421,442,233857
420,470,234327
419,419,234746
418,430,235176
417,423,235599
416,385,235984
415,369,236353
414,358,236711
413,419,237130
412,419,237549
411,369,237918
410,376,238294
409,346,238640
408,367,239007
407,316,239323
406,329,239652
405,338,239990
404,323,240313
403,304,240617
402,308,240925
401,281,241206
400,287,241493
399,299,241792
398,269,242061
397,304,242365
396,252,242617
395,264,242881
394,258,243139
393,237,243376
392,241,243617
391,261,243878
390,234,244112
389,244,244356
388,211,244567
387,251,244818
386,241,245059
385,216,245275
384,222,245497
383,224,245721
382,229,245950
381,195,246145
380,209,246354
379,193,246547
378,191,246738
377,189,246927
376,183,247110
375,183,247293
374,201,247494
373,149,247643
372,181,247824
371,147,247971
370,173,248144
369,142,248286
368,156,248442
367,150,248592
366,166,248758
365,160,248918
364,174,249092
363,170,249262
362,163,249425
361,149,249574
360,150,249724
359,153,249877
358,135,250012
357,138,250150
356,128,250278
355,151,250429
354,140,250569
353,116,250685
352,150,250835
351,121,250956
350,131,251087
349,133,251220
348,115,251335
347,121,251456
346,142,251598
345,108,251706
344,105,251811
343,131,251942
342,108,252050
341,119,252169
340,90,252259
339,111,252370
338,100,252470
337,106,252576
336,94,252670
335,91,252761
334,78,252839
333,111,252950
332,104,253054
331,93,253147
330,111,253258
329,95,253353
328,95,253448
327,104,253552
326,82,253634
325,86,253720
324,87,253807
323,80,253887
322,68,253955
321,81,254036
320,83,254119
319,105,254224
318,95,254319
317,84,254403
316,72,254475
315,76,254551
314,90,254641
313,89,254730
312,92,254822
311,75,254897
310,89,254986
309,92,255078
308,81,255159
307,67,255226
306,80,255306
305,92,255398
304,77,255475
303,72,255547
302,75,255622
301,76,255698
300,74,255772
299,75,255847
298,72,255919
297,73,255992
296,82,256074
295,82,256156
294,79,256235
293,54,256289
292,77,256366
291,86,256452
290,56,256508
289,75,256583
288,59,256642
287,73,256715
286,86,256801
285,65,256866
284,87,256953
283,65,257018
282,60,257078
281,77,257155
280,84,257239
279,75,257314
278,84,257398
277,76,257474
276,75,257549
275,59,257608
274,63,257671
273,69,257740
272,60,257800
271,56,257856
270,68,257924
269,61,257985
268,64,258049
267,53,258102
266,70,258172
265,79,258251
264,73,258324
263,70,258394
262,62,258456
261,63,258519
260,63,258582
259,57,258639
258,55,258694
257,61,258755
256,70,258825
255,64,258889
254,69,258958
253,58,259016
252,65,259081
251,50,259131
250,55,259186
249,67,259253
248,60,259313
247,49,259362
246,58,259420
245,56,259476
244,61,259537
243,50,259587
242,51,259638
241,45,259683
240,47,259730
239,62,259792
238,33,259825
237,52,259877
236,52,259929
235,48,259977
234,47,260024
233,52,260076
232,42,260118
231,48,260166
230,42,260208
229,43,260251
228,44,260295
227,45,260340
226,37,260377
225,34,260411
224,39,260450
223,35,260485
222,35,260520
221,32,260552
220,35,260587
