分数,本段人数,累计人数
651-750,105,105
650,9,114
649,17,131
648,13,144
647,17,161
646,19,180
645,17,197
644,33,230
643,21,251
642,21,272
641,30,302
640,25,327
639,38,365
638,36,401
637,44,445
636,34,479
635,29,508
634,45,553
633,37,590
632,43,633
631,51,684
630,49,733
629,65,798
628,63,861
627,62,923
626,67,990
625,67,1057
624,65,1122
623,59,1181
622,79,1260
621,80,1340
620,86,1426
619,80,1506
618,95,1601
617,99,1700
616,101,1801
615,105,1906
614,125,2031
613,124,2155
612,125,2280
611,118,2398
610,118,2516
609,138,2654
608,139,2793
607,144,2937
606,130,3067
605,158,3225
604,141,3366
603,144,3510
602,171,3681
601,174,3855
600,173,4028
599,162,4190
598,168,4358
597,192,4550
596,201,4751
595,192,4943
594,195,5138
593,227,5365
592,196,5561
591,193,5754
590,204,5958
589,210,6168
588,230,6398
587,240,6638
586,228,6866
585,226,7092
584,237,7329
583,246,7575
582,284,7859
581,249,8108
580,269,8377
579,278,8655
578,291,8946
577,276,9222
576,262,9484
575,314,9798
574,282,10080
573,332,10412
572,277,10689
571,305,10994
570,308,11302
569,321,11623
568,333,11956
567,304,12260
566,312,12572
565,326,12898
564,364,13262
563,316,13578
562,330,13908
561,323,14231
560,351,14582
559,347,14929
558,345,15274
557,379,15653
556,366,16019
555,388,16407
554,387,16794
553,348,17142
552,396,17538
551,385,17923
550,434,18357
549,385,18742
548,383,19125
547,418,19543
546,440,19983
545,376,20359
544,417,20776
543,390,21166
542,449,21615
541,416,22031
540,433,22464
539,413,22877
538,427,23304
537,432,23736
536,402,24138
535,437,24575
534,462,25037
533,412,25449
532,461,25910
531,461,26371
530,434,26805
529,460,27265
528,467,27732
527,472,28204
526,443,28647
525,436,29083
524,463,29546
523,445,29991
522,471,30462
521,515,30977
520,451,31428
519,469,31897
518,431,32328
517,426,32754
516,458,33212
515,470,33682
514,457,34139
513,511,34650
512,473,35123
511,494,35617
510,479,36096
509,497,36593
508,472,37065
507,434,37499
506,501,38000
505,453,38453
504,453,38906
503,469,39375
502,480,39855
501,438,40293
500,424,40717
499,459,41176
498,466,41642
497,503,42145
496,463,42608
495,470,43078
494,460,43538
493,472,44010
492,482,44492
491,453,44945
490,506,45451
489,477,45928
488,486,46414
487,480,46894
486,461,47355
485,470,47825
484,444,48269
483,467,48736
482,468,49204
481,444,49648
480,437,50085
479,462,50547
478,419,50966
477,342,51308
476,328,51636
475,316,51952
474,322,52274
473,303,52577
472,306,52883
471,297,53180
470,297,53477
469,317,53794
468,314,54108
467,303,54411
466,300,54711
465,274,54985
464,307,55292
463,268,55560
462,289,55849
461,236,56085
460,253,56338
459,303,56641
458,229,56870
457,271,57141
456,268,57409
455,281,57690
454,256,57946
453,269,58215
452,255,58470
451,239,58709
450,232,58941
449,226,59167
448,222,59389
447,246,59635
446,228,59863
445,227,60090
444,229,60319
443,216,60535
442,207,60742
441,219,60961
440,209,61170
439,237,61407
438,209,61616
437,186,61802
436,220,62022
435,206,62228
434,202,62430
433,164,62594
432,207,62801
431,192,62993
430,180,63173
429,182,63355
428,199,63554
427,197,63751
426,209,63960
425,202,64162
424,211,64373
423,173,64546
422,207,64753
421,208,64961
420,182,65143
419,194,65337
418,183,65520
417,186,65706
416,196,65902
415,180,66082
414,174,66256
413,198,66454
412,210,66664
411,209,66873
410,212,67085
409,203,67288
408,197,67485
407,191,67676
406,210,67886
405,189,68075
404,216,68291
403,221,68512
402,202,68714
401,197,68911
400,193,69104
399,215,69319
398,215,69534
397,215,69749
396,225,69974
395,213,70187
394,237,70424
393,212,70636
392,221,70857
391,235,71092
390,220,71312
389,213,71525
388,213,71738
387,203,71941
386,210,72151
385,223,72374
384,246,72620
383,222,72842
382,213,73055
