分数,本段人数,累计人数
689-750,110,110
688,29,139
687,23,162
686,28,190
685,40,230
684,31,261
683,34,295
682,58,353
681,54,407
680,57,464
679,63,527
678,68,595
677,79,674
676,85,759
675,72,831
674,112,943
673,106,1049
672,87,1136
671,117,1253
670,114,1367
669,134,1501
668,145,1646
667,156,1802
666,162,1964
665,148,2112
664,175,2287
663,178,2465
662,201,2666
661,207,2873
660,204,3077
659,210,3287
658,240,3527
657,249,3776
656,245,4021
655,273,4294
654,283,4577
653,301,4878
652,283,5161
651,306,5467
650,305,5772
649,318,6090
648,319,6409
647,328,6737
646,339,7076
645,384,7460
644,357,7817
643,387,8204
642,376,8580
641,380,8960
640,418,9378
639,424,9802
638,450,10252
637,426,10678
636,440,11118
635,480,11598
634,474,12072
633,493,12565
632,493,13058
631,490,13548
630,517,14065
629,538,14603
628,527,15130
627,532,15662
626,606,16268
625,580,16848
624,605,17453
623,592,18045
622,649,18694
621,638,19332
620,630,19962
619,703,20665
618,633,21298
617,672,21970
616,677,22647
615,743,23390
614,725,24115
613,684,24799
612,794,25593
611,774,26367
610,782,27149
609,782,27931
608,809,28740
607,794,29534
606,778,30312
605,851,31163
604,820,31983
603,808,32791
602,860,33651
601,851,34502
600,896,35398
599,893,36291
598,912,37203
597,885,38088
596,924,39012
595,936,39948
594,907,40855
593,981,41836
592,957,42793
591,1019,43812
590,941,44753
589,1014,45767
588,966,46733
587,1049,47782
586,1028,48810
585,1078,49888
584,1024,50912
583,1075,51987
582,1047,53034
581,1081,54115
580,1026,55141
579,1095,56236
578,1103,57339
577,1072,58411
576,1122,59533
575,1117,60650
574,1166,61816
573,1162,62978
572,1161,64139
571,1131,65270
570,1153,66423
569,1198,67621
568,1268,68889
567,1235,70124
566,1205,71329
565,1231,72560
564,1224,73784
563,1237,75021
562,1371,76392
561,1231,77623
560,1298,78921
559,1231,80152
558,1237,81389
557,1353,82742
556,1305,84047
555,1312,85359
554,1399,86758
553,1320,88078
552,1331,89409
551,1309,90718
550,1344,92062
549,1412,93474
548,1354,94828
547,1403,96231
546,1439,97670
545,1350,99020
544,1361,100381
543,1464,101845
542,1350,103195
541,1391,104586
540,1415,106001
539,1422,107423
538,1473,108896
537,1375,110271
536,1473,111744
535,1387,113131
534,1528,114659
533,1444,116103
532,1490,117593
531,1465,119058
530,1487,120545
529,1480,122025
528,1460,123485
527,1449,124934
526,1526,126460
525,1429,127889
524,1471,129360
523,1459,130819
522,1468,132287
521,1472,133759
520,1456,135215
519,1450,136665
518,1372,138037
517,1461,139498
516,1486,140984
515,1481,142465
514,1467,143932
513,1488,145420
512,1476,146896
511,1468,148364
510,1435,149799
509,1368,151167
508,1391,152558
507,1346,153904
506,1475,155379
505,1457,156836
504,1493,158329
503,1504,159833
502,1460,161293
501,1457,162750
500,1419,164169
499,1386,165555
498,1386,166941
497,1448,168389
496,1462,169851
495,1421,171272
494,1320,172592
493,1365,173957
492,1347,175304
491,1370,176674
490,1307,177981
489,1323,179304
488,1328,180632
487,1311,181943
486,1344,183287
485,1260,184547
484,1270,185817
483,1334,187151
482,1246,188397
481,1222,189619
480,1301,190920
479,1254,192174
478,1249,193423
477,1188,194611
476,1167,195778
475,1236,197014
474,1179,198193
473,1183,199376
472,1159,200535
471,1150,201685
470,1209,202894
469,1089,203983
468,1026,205009
467,1105,206114
466,1096,207210
465,1155,208365
464,1053,209418
463,1054,210472
462,1029,211501
461,1049,212550
460,1025,213575
459,1009,214584
458,984,215568
457,925,216493
456,945,217438
