专业名称,专业组,选科,最高分,最低分,平均分,位次,人数,批次线差
会计学,01,不限,547,547,532.7,19543,114,84
汉语言文学,01,不限,552,544,537.3,20776,110,81
财务管理,01,不限,544,539,530.9,22877,75,81
经济与金融,01,不限,543,532,526.1,25910,7,80
汉语言文学,01,不限,552,541,537.3,22031,101,78
经济学,01,不限,540,535,526.0,24575,50,77
国际经济与贸易,01,不限,540,533,524.6,25449,8,77
英语,01,不限,538,531,526.2,26371,55,75
市场营销,01,不限,538,526,524.0,28647,23,75
小学教育,01,不限,537,534,528.8,25037,110,74
朝鲜语,01,不限,537,523,522.8,29991,9,74
广告学,01,不限,537,528,523.4,27732,55,74
电子商务,01,不限,540,537,523.6,23736,77,74
