专业名称,专业组,选科,最高分,最低分,平均分,位次,人数,批次线差
会计学,02,不限,553,541,544.7,105341,15,78
汉语言文学,02,不限,546,538,536.4,109484,10,75
财务管理,02,不限,548,538,542.3,109484,15,75
经济与金融,02,不限,537,537,537.0,110914,2,74
电气工程及其自动化,03,化学,555,534,539.4,115115,180,71
小学教育,02,不限,538,532,534.1,117992,10,69
汉语言文学,02,不限,546,532,536.4,117992,15,69
机械设计制造及其自动化,03,化学,552,531,534.0,119385,63,68
英语,02,不限,534,530,532.0,120767,3,67
电子信息工程,03,化学,540,530,533.3,120767,51,67
计算机科学与技术,03,化学,554,530,533.9,120767,100,67
经济学,02,不限,538,530,533.2,120767,10,67
市场营销,02,不限,535,528,531.8,123539,5,65
信息管理与信息系统,02,不限,541,528,531.6,123539,25,65
电子商务,02,不限,533,527,528.7,125021,10,64
机械电子工程,03,化学,536,527,529.2,125021,110,64
国际经济与贸易,02,不限,529,527,528.6,125021,5,64
广告学,02,不限,535,527,529.4,125021,5,64
大数据管理与应用,02,不限,551,527,533.7,125021,100,64
朝鲜语,02,不限,526,526,526.0,126402,1,63
软件工程,03,化学,538,525,528.5,127836,100,62
数据科学与大数据技术,03,化学,535,524,526.4,129305,50,61
工程管理,02,不限,542,524,527.0,129305,46,61
金融科技,02,不限,538,524,527.0,129305,60,61
应急管理,02,不限,546,524,526.1,129305,50,61
电子科学与技术,03,化学,548,523,526.2,130715,85,60
物流工程,02,不限,567,523,527.3,130715,57,60
人工智能,03,化学,546,523,526.3,130715,100,60
食品质量与安全,03,化学,526,523,524.0,130715,6,60
智能制造工程,03,化学,530,522,524.3,132082,110,59
机器人工程,03,化学,531,522,524.4,132082,100,59
新能源科学与工程,03,化学,533,521,523.5,133470,100,58
化学工程与工艺,03,化学,537,520,523.1,134945,30,57
电气工程及其自动化,06,化学,534,520,524.5,134945,30,57
材料成型及控制工程,03,化学,548,519,521.6,136395,60,56
化妆品技术与工程,03,化学,540,519,522.8,136395,50,56
新能源材料与器件,03,化学,534,519,521.2,136395,100,56
食品科学与工程,03,化学,544,518,523.4,137742,94,55
储能科学与工程,03,化学,533,518,520.6,137742,100,55
高分子材料与工程,03,化学,536,517,519.8,139203,45,54
工业设计,03,化学,528,517,520.4,139203,39,54
资源循环科学与工程,03,化学,522,516,517.5,140608,50,53
应用统计学,03,化学,533,516,519.8,140608,100,53
数学与应用数学,03,化学,532,516,520.4,140608,50,53
环境工程,03,化学,529,516,516.7,140608,100,53
给排水科学与工程,03,化学,528,516,517.6,140608,61,53
土木工程,03,化学,523,516,518.2,140608,31,53
信息与计算科学,03,化学,538,516,519.6,140608,90,53
智能建造,03,化学,528,516,519.9,140608,60,53
城市地下空间工程,03,化学,521,516,519.7,140608,50,53
安全工程,03,化学,532,515,519.1,142068,60,52
生物工程,03,化学,528,515,519.3,142068,81,52
食品营养与健康,03,化学,526,515,517.6,142068,100,52
高分子材料与工程,07,化学,516,508,511.0,151737,30,45
电气工程及其自动化,05,化学,523,503,509.2,158579,53,40
机械电子工程,05,化学,510,500,503.0,162612,47,37
电子科学与技术,04,化学,512,498,502.1,165225,60,35
机器人工程,04,化学,517,493,497.5,171881,60,30
材料科学与工程,04,化学,514,490,495.3,175732,60,27
环境工程,04,化学,513,475,490.2,193550,60,12
