专业,选科,限制,计划数,学费
小学教育(师范),历史,不限,145,5200
汉语言文学,历史,不限,90,5200
学前教育(师范),历史,不限,100,5200
秘书学,历史,不限,25,5200
汉语言文学(师范),历史,不限,60,5200
广告学,历史,不限,45,5200
经济学,历史,不限,70,5200
国际经济与贸易,历史,不限,61,5200
信用管理,历史,不限,35,5200
市场营销,历史,不限,48,5200
经济与金融,历史,不限,35,5200
电子商务,历史,不限,63,5200
金融科技,历史,不限,35,5200
旅游管理,历史,不限,9,5200
会计学,历史,不限,99,5200
物流工程,历史,不限,4,5200
财务管理,历史,不限,59,5200
风景园林,历史,不限,3,5800
英语,历史,不限,50,5200
应用统计学,历史,不限,5,5500
朝鲜语,历史,不限,8,5200
土木工程,物理,不限,71,5800
储能科学与工程,物理,不限,50,5800
城市地下空间工程,物理,不限,40,5800
电子科学与技术,物理,不限,30,5800
智能建造,物理,不限,40,5800
材料科学与工程,物理,不限,40,5800
安全工程,物理,不限,45,5800
高分子材料与工程,物理,不限,45,5800
工程管理,物理,不限,35,5200
应急管理,物理,不限,40,5200
工程造价,物理,不限,41,5200
智能制造工程,物理,不限,40,5800
机械设计制造及其自动化,物理,不限,93,5800
小学教育(师范),物理,不限,100,5200
材料成型及控制工程,物理,不限,80,5800
学前教育(师范),物理,不限,15,5200
机械电子工程,物理,不限,80,5800
汉语言文学(师范),物理,不限,20,5200
工业设计,物理,不限,50,5800
经济学,物理,不限,40,5200
电子信息工程,物理,不限,41,5800
信用管理,物理,不限,15,5200
人工智能,物理,不限,50,5800
经济与金融,物理,不限,24,5200
计算机科学与技术,物理,不限,80,5800
金融科技,物理,不限,15,5200
软件工程,物理,不限,50,5800
会计学,物理,不限,35,5200
数据科学与大数据技术,物理,不限,50,5800
财务管理,物理,不限,35,5200
电气工程及其自动化,物理,不限,100,5800
英语,物理,不限,8,5200
机器人工程,物理,不限,50,5800
朝鲜语,物理,不限,2,5200
给排水科学与工程,物理,不限,61,5800
信息管理与信息系统,物理,不限,70,5200
环境工程,物理,不限,75,5800
房地产开发与管理,物理,不限,17,5200
环保设备工程,物理,不限,40,5800
大数据管理与应用,物理,不限,50,5200
风景园林,物理,不限,38,5800
物流工程,物理,不限,32,5200
食品科学与工程,物理,不限,114,5800
汉语言文学,物理,不限,20,5200
生物工程,物理,不限,81,5800
秘书学,物理,不限,3,5200
数学与应用数学,物理,不限,30,5500
广告学,物理,不限,15,5200
信息与计算科学,物理,不限,80,5500
国际经济与贸易,物理,不限,30,5200
应用统计学,物理,不限,45,5500
市场营销,物理,不限,20,5200
应用物理学,物理,不限,50,5500
电子商务,物理,不限,37,5200
新能源科学与工程,物理,不限,100,5800
旅游管理,物理,不限,8,5200
应用化学,物理,化学,37,5500
化妆品技术与工程,物理,化学,40,5800
化学工程与工艺,物理,化学,47,5800
食品质量与安全,物理,化学,46,5800
电气工程及其自动化（中外合作办学）,物理,不限,53,26400
机械电子工程（中外合作办学）,物理,不限,47,26400
材料科学与工程（中外合作办学）,物理,不限,60,30000
环境工程（中外合作办学）,物理,不限,60,30000
电子科学与技术（中外合作办学）,物理,不限,60,30000
机器人工程（中外合作办学）,物理,不限,60,30000
"电气工程及其自动化(与江苏信息职业技术学院联合培养项目,在江苏信息职业技术学院学习)",物理,不限,30,5800
"高分子材料与工程(与徐州工业职业技术学院联合培养项目,在徐州工业职业技术学院学习)",物理,不限,30,5800
社会体育指导与管理,历史,不限,44,5300
社会体育指导与管理,物理,不限,16,5300
视觉传达设计,历史,不限,49,6800
服装与服饰设计,历史,不限,19,6800
环境设计,历史,不限,48,6800
数字媒体艺术,历史,不限,29,6800
产品设计,历史,不限,43,6800
视觉传达设计,物理,不限,2,6800
服装与服饰设计,物理,不限,1,6800
环境设计,物理,不限,2,6800
数字媒体艺术,物理,不限,1,6800
产品设计,物理,不限,2,6800
"视觉传达设计(与江苏建筑职业技术学院联合培养项目,在江苏建筑职业技术学院学习)",历史,不限,29,6800
"视觉传达设计(与江苏建筑职业技术学院联合培养项目,在江苏建筑职业技术学院学习)",物理,不限,1,6800
音乐学,历史,不限,12,6800
音乐学（师范）,历史,不限,13,6800
音乐学,历史,不限,11,6800
音乐学（师范）,历史,不限,13,6800
音乐学,物理,不限,1,6800
音乐学（师范）,物理,不限,2,6800
音乐学,物理,不限,1,6800
音乐学（师范）,物理,不限,2,6800
